Código do Município,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG004 - Quantidade de ligações ativas de água micromedidas,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG008 - Volume de água micromedido,AG010 - Volume de água consumido,AG011 - Volume de água faturado,AG012 - Volume de água macromedido,AG024 - Volume de serviço,AG026 - População urbana atendida com abastecimento de água,AG028 - Consumo total de energia elétrica nos sistemas de água,IN001 - Densidade de economias de água por ligação,IN002 - Índice de produtividade: economias ativas por pessoal próprio,IN003 - Despesa total com os serviços por m3 faturado,IN008 - Despesa média anual por empregado,IN009 - Índice de hidrometração,IN010 - Índice de micromedição relativo ao volume disponibilizado,IN011 - Índice de macromedição,IN012 - Indicador de desempenho financeiro,IN013 - Índice de perdas faturamento,IN018 - Quantidade equivalente de pessoal total,IN020 - Extensão da rede de água por ligação,IN022 - Consumo médio percapita de água,IN023 - Índice de atendimento urbano de água,IN026 - Despesa de exploração por m3 faturado,IN028 - Índice de faturamento de água,IN029 - Índice de evasão de receitas,IN030 - Margem da despesa de exploração,IN031 - Margem da despesa com pessoal próprio,IN032 - Margem da despesa com pessoal total (equivalente),IN033 - Margem do serviço da divida,,IN035 - Participação da despesa com pessoal próprio nas despesas de exploração,IN036 - Participação da despesa com pessoal total (equivalente) nas despesas de exploração,IN037 - Participação da despesa com energia elétrica nas despesas de exploração,IN038 - Participação da despesa com produtos químicos nas despesas de exploração (DEX),IN039 - Participação das outras despesas nas despesas de exploração,IN044 - Índice de micromedição relativo ao consumo,IN045 - Índice de produtividade: empregados próprios por 1000 ligações de água,IN048 - Índice de produtividade: empregados próprios por 1000 ligações de água + esgoto,IN049 - Índice de perdas na distribuição,IN050 - Índice bruto de perdas lineares,IN051 - Índice de perdas por ligação,IN052 - Índice de consumo de água,IN055 - Índice de atendimento total de água,IN058 - Índice de consumo de energia elétrica em sistemas de abastecimento de água,IN060 - Índice de despesas por consumo de energia elétrica nos sistemas de água e esgotos,IN076 - Incidência das análises de turbidez fora do padrão,IN080 - Índice de conformidade da quantidade de amostras - turbidez,IN083 - Duração média dos serviços executados,IN101 - Índice de suficiência de caixa,IN102 - Índice de produtividade de pessoal total (equivalente)
520090,3126,2049,1395,1358,"34,98","156,63","122,24","122,38","125,67","144,32","1,32",1880,"117,82","1,03","283,9","10,77","136050,44","97,11","78,71","92,14","60,9","19,08","5,3","23,76","148,92",100,"9,91","80,92","-2,49","151,04","82,53","87,51",0,"43,3","54,64","57,94","6,12","0,97","28,67","99,89","3,61","3,61","21,2","2,59","65,21","78,8","65,55","0,75","0,65","1,83","144,69","4,02","66,62","260,95"
240620,6769,5603,1557,1386,"42,23","298,79","127,82","151,46","218,78","298,79",0,4302,"1055,23",1,"802,25","3,45","143630,44","88,2","42,78",100,"123,27","26,78",2,"12,75","67,31","99,38","2,98","73,22","5,72","69,86","30,83","30,83","2,15","6,49","44,13","44,13","30,54","1,08","9,3","84,39","1,25","1,25","49,31","12,53","252,04","50,69","82,77","3,53","0,19","2,63","63,33","4,28","127,22","800,75"
241300,6424,5536,1738,1737,"16,01","218,8","161,68","161,8","251,37","218,8",0,4012,"1232,84",1,"576,83","10,07","206279,8","99,94","73,89",100,"41,74","-14,89",3,"6,15","76,17",100,"4,24","114,89","1,76","100,8","58,54","58,54","2,18","4,18","58,08","58,08","26,5","0,99","4,15","99,93","1,74","1,74","26,05","12,75","90,35","73,95","86,18","5,63","0,23","63,89","112,5","4,32","168,27","576,17"
522230,5821,1702,926,869,"13,79","114,39","88,11","88,45","90,59","114,39","0,98",1702,"85,2","1,03",269,"10,41","166038,49","94,33","77,69",100,63,"20,12","3,68","14,3","159,69",100,"9,8","79,88","-0,83","149,41","97,83","102,77",0,"26,02","65,48","68,79","7,15","0,25","17,41","99,62","3,81","3,81","22,01","4,96","74,53","77,99","29,24","0,74","0,74","0,9",185,"4,37","67,93","249,56"
290515,15573,3930,1191,1185,"11,06","162,8","102,19","103,44","124,86","162,8","0,07",3758,"331,34","1,01","1187,5","5,77","139330,01","98,01","62,8",100,"88,73","23,27","2,73","8,01","71,86",100,"5,34","76,73","-4,23","104,25","21,79","59,41","1,45","10,94","20,9","56,99","20,9","2,33","10,49","98,79","0,85","0,85","36,43","14,68","137,48","63,57","25,24","2,04","0,42",0,"93,33","4,58","101,05","433,27"
521920,2855,951,748,610,"15,34","104,8","75,41","77,54","76,16","104,77","0,91",891,"118,65","1,05","194,75","11,41","98974,11","85,23","72,59","99,97","57,68","26,69","4,47","19,43","209,4",100,"10,38","73,31","-1,68","157,68","78,97","88,22",0,"40,88","50,08","55,95","11,19","0,49","25,93","97,25","5,37","5,37","25,36","4,71","96,9","74,64","33,31","1,13","0,75","5,78","98,68","4,91","64,57","166,72"
520929,1996,1341,805,783,"10,21","86,47","68,24","68,84","69,14","86,47","0,75",1211,"66,26","1,01","272,5","10,59","129411,32","97,52","79,61",100,"59,28","19,34","3,21","12,35","147,87",100,"9,67","80,66","0,28","154,05","89,48","95,68",0,"35,98","58,08","62,11","8,1","0,35","23,36","99,13","3,72","3,72","19,69","4,53","57,31","80,31","67,18","0,77","0,82","3,23","109,73","5,01","64,68","251,56"
520082,3812,1223,647,633,"9,17","67,9","52,48","52,54","53,59","67,9","0,59",1222,"54,05","1,03","657,5","8,76","138956,39","98,9","77,97",100,"77,9","20,38","1,22","13,93","128,64",100,"6,84","79,62","-0,15","100,16","37,99","46,42",0,"33,3","37,93","46,34","10,91","0,38","33,25","99,89","1,56","1,56","21,94","4,41","63,33","78,06","32,08","0,8","0,74","0,39","111,4","5,07","96,74","523,01"
241415,5952,4377,1307,1307,"17,92","308,95","254,71","254,71","326,64","269,74",0,1268,"812,18",1,541,"3,44","190096,74","99,63","82,44","87,31","103,47","-5,73","2,59","7,93","136,07",100,"3,2","105,73","4,45","89,85","40,86","42,3","2,22","3,92","45,47","47,08","35,36","1,73","4,36",100,"1,85","1,85","17,56","10,45","110,2","82,44","73,54","2,63","0,46","52,94","106,25","5,11","105,33","520,98"
521030,2800,2266,1068,1041,"16,65","139,26","106,25","106,74","108,48","138,99","1,21",2181,"90,89","1,05","222,2","9,78","101454,14","98,73","76,96","99,81","66,28","21,42","5,33","14,97","143,81",100,"8,84","78,58","2,13","136,36","72,13","76,82",0,"38,89","52,89","56,34","7,32","0,7","28,52","99,54","4,71","4,71","22,68","5,15","80,81","77,32","80,93","0,65","0,77","0,46","95,22","5,18","70,92","199,33"
521170,6048,4214,2130,2101,"35,27","349,33","244,31","254,05","245,77","349,33","3,01",4076,"208,88","1,04","294,6","8,4","146230,24","91,63","70,54",100,"76,55","29,03","8,09","15,98","178,93",100,"7,76","70,97","1,76","120,54","69,36","74,83",0,"25,48","57,54","62,08","8,34","0,37","21,14","96,17","3,54","3,54","26,64","7,17","119,21","73,36","69,68","0,6","0,76","6,14","122,57","5,18","80,32","262,06"
520085,6111,5256,2431,2280,"27,52","343,93","243,66","248,35","247,61","341,93","2,97",5235,"166,39","1,02","307,56","9,24","139593,24",94,"71,46","99,42","69,68","27,38","9,03","10,9","130,3",100,"8,57","72,62","0,86","133,2","70,08","79,12",0,"34,83","52,62","59,4","6,18","0,82","26,15","98,11","3,32","3,32","27,16","9,22","105,35","72,84","86,01","0,48","0,79","2,64","99,56","5,21","73,86","266,68"
521470,2352,1742,843,831,"18,4","93,07","70,53","70,75","71,53","93,07","0,82",1715,"109,81","1,05","278,33","11,56","137405,08","99,24","76,46",100,"59,99","22,46","3,22","21,29","122,99",100,"10,35","77,54","2,37","149,11","83,06","89,25",0,"32,96","55,71","59,86","11,33","0,16","22,11","99,69","3,78","3,78","23,31","3,4","74,23","76,69","74,06","1,18","0,76","0,44","99,12","5,25","64,5","246,16"
240550,2612,1667,464,464,"7,5","57,44","52,01","52,01","72,42","32,63",0,434,"169,95","1,07","330,67","3,96","86521,71",100,"90,55","56,81","99,25","-26,08","1,53","13,4","66,55",100,"3,52","126,08","-10,95","89,51","45,59","46,47","2,18","4,79","50,94","51,92","28,32","2,06","5,35",100,"3,24","3,24","9,45","1,98","32,13","90,55","63,82","2,96","0,42","13,79","241,67","5,37","125,18","302,85"
521590,3585,2784,1395,1368,"19,19","211,32","153,23","154,06","154,88","211,32","1,84",2720,"185,39","1,03","219,15","9,56","129459,06","96,74","73,15",100,"65,57","26,06","6,81","13,4","156,56",100,"8,84","73,94","0,05","141,07","86,71","90,78",0,27,"61,47","64,35","8,73","1,23","19,14","99,46","4,71","4,71","26,46","7,91","110,03","73,54","77,66","0,88","0,64","3,72","19,32","5,47","69,93","202,79"
520660,2854,2429,1242,1218,"20,57","166,84","140,81","142,94","142,64","166,84","1,45",2326,"205,95","1,02","180,93","11,92","128563,97","94,62","84,7","99,49","53,79","14,2","7,65","16,33","181,51","99,87",11,"85,8","3,62","171,68","98,43","107,53",0,"37,26","57,33","62,63","9,76","0,46","21,7","98,51","5,66","5,66","14,02","3,1","51,67","85,98","85,11","1,23","0,74","10,7","108,48","5,56","55,79","161,63"
521540,3759,2636,1253,1211,"16,3","161,94","129,44","130,08","131,12","160,91","1,4",2500,"243,7","1,02","213,08","10,88","135826,04","96,8","80,63","99,36","57,93","18,33","6,27","12,4","148,09",100,"9,97","81,67","-1,56","158,22","98,61","103,09",0,"26,87","62,32","65,16","11,33","0,72","16,98","99,51","4,8","4,8","18,97","5,12","66,79","81,03","70,13","1,5","0,61","3,21","111,16","5,58","63,61","199,19"
320180,4304,1624,780,780,"8,09","124,58","96,74","96,76","118,58","78,26","0,23",1624,"56,29","1,07","821,5","4,05","130601,52",100,"77,8","62,82","94,94","4,64","1,88","9,88","162,59","97,83","3,47","95,36","-1,94","90,37","28,67","53,82","6,53","6,13","31,73","59,55","15,46","2,47","6,78","99,98","1,3","1,3","22,19","9,34","98,1","77,81","37,73","0,45","1,13",0,"106,52","5,8","104,33","410,49"
521645,3129,1996,967,905,"21,08","167,35","119,17","119,77","123,44","167,35","1,42",1972,"106,13","1,03",494,"5,41","98904,71","93,46","71,82",100,"117,71","25,61","2,42","19,79","165,73",100,"4,78","74,39","0,45","75,11","25,18","30,5",0,"23,83","33,52","40,61","13,61","0,44","31,72","99,5","2,09","2,09","27,82","6,07","132,42","72,18","63,79","0,63","0,76",2,"87,34","6,11","131,57","394,19"
522108,3458,2440,920,915,"16,41","207,22","90,72","91,52","90,89","207,22","1,77",2440,"2,96","1,02","234,37","9,1","127313,41","99,67","44,16",100,75,"55,76","4,25","17,15","106,7","99,71","8,8","44,24","-13,76","128,9","82,09","87,3",0,"31,09","63,69","67,73","0,29","0,36","24,12","99,13","4,37","4,37","55,45","18,79","340,76","44,55","70,56","0,01","0,78",1,"131,58","6,12","87,39","215,33"
521385,2248,1649,1084,1071,"11,21","133,68","88,27","88,86","89,14","133,68","1,15",1573,"59,95","1,04","215,2","11,84","124802,93","99,37","66,6",100,"55,71","32,74","5,27","10,37","150,56",100,"10,84","67,26","-0,33","164,27","106,12","111,89",0,"25,99","64,6","68,11","4,63","5,86","15,82","99,34","4,82","4,82","32,95","10,92","115,32","67,05","73,35","0,45","0,75","5,45","96,49","6,22","60,29","196,81"
240920,3089,1891,570,546,"21,38","112,31","59,99","64,04","85,43","112,31",0,1249,"83,01",1,376,"4,54","105507,95","95,74","53,41",100,"92,62","23,93","1,58","22,02","85,27","98,27","4,35","76,07","-2,67","103,58","44,09","46,38","2,2","3,93","42,57","44,77","39,19","2,25","3,8","93,68","2,66","2,66","42,98","7,07","234,9","57,02","61,22","0,74","1,76","17,39","63,89","6,4","99,89","356,85"
521580,2381,2305,1091,948,"16,68","163,52","124,11","127,06","128,19","163,52","1,4",2260,"87,61","1,03","148,8","11,46","114043,95","86,16","76,55",100,"56,84","20,93","7,81","14,85","152,55",100,"10,69","79,07","3,1","164,09","102,41","106,69",0,"36,37","62,41","65,02","4,75","2,28","22,16","97,68","6,92","6,92","21,63","5,76","88,65","78,37","96,81","0,54","0,74","4,04","99,55","6,48","58,68","138,68"
